geoName,geoCode,value,topic,date
Jacksonville FL,561,6,Housing,2020-02-27
Macon GA,503,42,Housing,2020-02-27
Savannah GA,507,36,Housing,2020-02-27
Tallahassee FL-Thomasville GA,530,30,Housing,2020-02-27
Albany GA,525,90,Housing,2020-02-28
Atlanta GA,524,99,Housing,2020-02-28
Augusta GA,520,0,Housing,2020-02-28
Chattanooga TN,575,0,Housing,2020-02-28
Columbus GA,522,0,Housing,2020-02-28
Dothan AL,606,0,Housing,2020-02-28
Jacksonville FL,561,0,Housing,2020-02-28
Macon GA,503,100,Housing,2020-02-28
Savannah GA,507,27,Housing,2020-02-28
Tallahassee FL-Thomasville GA,530,38,Housing,2020-02-28
Albany GA,525,0,Housing,2020-02-29
Atlanta GA,524,63,Housing,2020-02-29
Augusta GA,520,0,Housing,2020-02-29
Chattanooga TN,575,0,Housing,2020-02-29
Columbus GA,522,100,Housing,2020-02-29
Dothan AL,606,0,Housing,2020-02-29
Jacksonville FL,561,13,Housing,2020-02-29
Macon GA,503,99,Housing,2020-02-29
Savannah GA,507,28,Housing,2020-02-29
Tallahassee FL-Thomasville GA,530,0,Housing,2020-02-29
Albany GA,525,71,Employment,2020-02-01
Atlanta GA,524,89,Employment,2020-02-01
Augusta GA,520,100,Employment,2020-02-01
Chattanooga TN,575,17,Employment,2020-02-01
Columbus GA,522,38,Employment,2020-02-01
Dothan AL,606,0,Employment,2020-02-01
Jacksonville FL,561,8,Employment,2020-02-01
Macon GA,503,86,Employment,2020-02-01
Savannah GA,507,83,Employment,2020-02-01
Tallahassee FL-Thomasville GA,530,43,Employment,2020-02-01
Albany GA,525,45,Employment,2020-02-02
Atlanta GA,524,75,Employment,2020-02-02
Augusta GA,520,40,Employment,2020-02-02
Chattanooga TN,575,37,Employment,2020-02-02
Columbus GA,522,66,Employment,2020-02-02
Dothan AL,606,0,Employment,2020-02-02
Jacksonville FL,561,6,Employment,2020-02-02
Macon GA,503,100,Employment,2020-02-02
Savannah GA,507,74,Employment,2020-02-02
Tallahassee FL-Thomasville GA,530,34,Employment,2020-02-02
Albany GA,525,71,Employment,2020-02-03
Atlanta GA,524,83,Employment,2020-02-03
Augusta GA,520,60,Employment,2020-02-03
Chattanooga TN,575,29,Employment,2020-02-03
Columbus GA,522,69,Employment,2020-02-03
Dothan AL,606,0,Employment,2020-02-03
Jacksonville FL,561,8,Employment,2020-02-03
Macon GA,503,100,Employment,2020-02-03
Savannah GA,507,40,Employment,2020-02-03
Tallahassee FL-Thomasville GA,530,18,Employment,2020-02-03
Albany GA,525,74,Employment,2020-02-04
Atlanta GA,524,100,Employment,2020-02-04
Augusta GA,520,48,Employment,2020-02-04
Chattanooga TN,575,38,Employment,2020-02-04
Columbus GA,522,79,Employment,2020-02-04
Dothan AL,606,0,Employment,2020-02-04
Jacksonville FL,561,11,Employment,2020-02-04
Macon GA,503,95,Employment,2020-02-04
Savannah GA,507,62,Employment,2020-02-04
Tallahassee FL-Thomasville GA,530,22,Employment,2020-02-04
Albany GA,525,85,Employment,2020-02-05
Atlanta GA,524,79,Employment,2020-02-05
Augusta GA,520,45,Employment,2020-02-05
Chattanooga TN,575,20,Employment,2020-02-05
Columbus GA,522,100,Employment,2020-02-05
Dothan AL,606,0,Employment,2020-02-05
Jacksonville FL,561,12,Employment,2020-02-05
Macon GA,503,97,Employment,2020-02-05
Savannah GA,507,95,Employment,2020-02-05
Tallahassee FL-Thomasville GA,530,29,Employment,2020-02-05
Albany GA,525,71,Employment,2020-02-06
Atlanta GA,524,55,Employment,2020-02-06
Augusta GA,520,50,Employment,2020-02-06
Chattanooga TN,575,12,Employment,2020-02-06
Columbus GA,522,32,Employment,2020-02-06
Dothan AL,606,0,Employment,2020-02-06
Jacksonville FL,561,8,Employment,2020-02-06
Macon GA,503,100,Employment,2020-02-06
Savannah GA,507,57,Employment,2020-02-06
Tallahassee FL-Thomasville GA,530,16,Employment,2020-02-06
Albany GA,525,100,Employment,2020-02-07
Atlanta GA,524,59,Employment,2020-02-07
Augusta GA,520,78,Employment,2020-02-07
Chattanooga TN,575,13,Employment,2020-02-07
Columbus GA,522,30,Employment,2020-02-07
Dothan AL,606,0,Employment,2020-02-07
Jacksonville FL,561,10,Employment,2020-02-07
Macon GA,503,97,Employment,2020-02-07
Savannah GA,507,72,Employment,2020-02-07
Tallahassee FL-Thomasville GA,530,13,Employment,2020-02-07
Albany GA,525,88,Employment,2020-02-08
Atlanta GA,524,77,Employment,2020-02-08
Augusta GA,520,42,Employment,2020-02-08
Chattanooga TN,575,39,Employment,2020-02-08
Columbus GA,522,29,Employment,2020-02-08
Dothan AL,606,0,Employment,2020-02-08
Jacksonville FL,561,12,Employment,2020-02-08
Macon GA,503,76,Employment,2020-02-08
Savannah GA,507,100,Employment,2020-02-08
Tallahassee FL-Thomasville GA,530,17,Employment,2020-02-08
Albany GA,525,95,Employment,2020-02-09
Atlanta GA,524,71,Employment,2020-02-09
Augusta GA,520,79,Employment,2020-02-09
Chattanooga TN,575,29,Employment,2020-02-09
Columbus GA,522,48,Employment,2020-02-09
Dothan AL,606,0,Employment,2020-02-09
Jacksonville FL,561,11,Employment,2020-02-09
Macon GA,503,100,Employment,2020-02-09
Savannah GA,507,93,Employment,2020-02-09
Tallahassee FL-Thomasville GA,530,22,Employment,2020-02-09
Albany GA,525,100,Employment,2020-02-10
Atlanta GA,524,84,Employment,2020-02-10
Augusta GA,520,86,Employment,2020-02-10
Chattanooga TN,575,25,Employment,2020-02-10
Columbus GA,522,68,Employment,2020-02-10
Dothan AL,606,13,Employment,2020-02-10
Jacksonville FL,561,5,Employment,2020-02-10
Macon GA,503,84,Employment,2020-02-10
Savannah GA,507,79,Employment,2020-02-10
Tallahassee FL-Thomasville GA,530,40,Employment,2020-02-10
Albany GA,525,100,Employment,2020-02-11
Atlanta GA,524,90,Employment,2020-02-11
Augusta GA,520,49,Employment,2020-02-11
Chattanooga TN,575,22,Employment,2020-02-11
Columbus GA,522,83,Employment,2020-02-11
Dothan AL,606,0,Employment,2020-02-11
Jacksonville FL,561,8,Employment,2020-02-11
Macon GA,503,84,Employment,2020-02-11
Savannah GA,507,71,Employment,2020-02-11
Tallahassee FL-Thomasville GA,530,36,Employment,2020-02-11
Albany GA,525,22,Employment,2020-02-12
Atlanta GA,524,75,Employment,2020-02-12
Augusta GA,520,49,Employment,2020-02-12
Chattanooga TN,575,18,Employment,2020-02-12
Columbus GA,522,57,Employment,2020-02-12
Dothan AL,606,0,Employment,2020-02-12
Jacksonville FL,561,1,Employment,2020-02-12
Macon GA,503,100,Employment,2020-02-12
Savannah GA,507,75,Employment,2020-02-12
Tallahassee FL-Thomasville GA,530,11,Employment,2020-02-12
Albany GA,525,42,Employment,2020-02-13
Atlanta GA,524,96,Employment,2020-02-13
Augusta GA,520,100,Employment,2020-02-13
Chattanooga TN,575,9,Employment,2020-02-13
Columbus GA,522,64,Employment,2020-02-13
Dothan AL,606,0,Employment,2020-02-13
Jacksonville FL,561,9,Employment,2020-02-13
Macon GA,503,94,Employment,2020-02-13
Savannah GA,507,73,Employment,2020-02-13
Tallahassee FL-Thomasville GA,530,31,Employment,2020-02-13
Albany GA,525,65,Employment,2020-02-14
Atlanta GA,524,86,Employment,2020-02-14
Augusta GA,520,72,Employment,2020-02-14
Chattanooga TN,575,19,Employment,2020-02-14
Columbus GA,522,20,Employment,2020-02-14
Dothan AL,606,0,Employment,2020-02-14
Jacksonville FL,561,2,Employment,2020-02-14
Macon GA,503,100,Employment,2020-02-14
Savannah GA,507,100,Employment,2020-02-14
Tallahassee FL-Thomasville GA,530,62,Employment,2020-02-14
Albany GA,525,85,Employment,2020-02-15
Atlanta GA,524,97,Employment,2020-02-15
Augusta GA,520,39,Employment,2020-02-15
Chattanooga TN,575,38,Employment,2020-02-15
Columbus GA,522,24,Employment,2020-02-15
Dothan AL,606,0,Employment,2020-02-15
Jacksonville FL,561,6,Employment,2020-02-15
